,objectID,dimensions,width,height,depth
764,2019.18.10,101.6 x 127.0 x nan cm,101.6,127.0,
765,2019.18.2,101.6 x 127.0 x nan cm,101.6,127.0,
766,2019.18.3,101.6 x 127.0 x nan cm,101.6,127.0,
767,2019.18.4,101.6 x 127.0 x nan cm,101.6,127.0,
768,2019.18.5,101.6 x 127.0 x nan cm,101.6,127.0,
769,2019.18.6,101.6 x 127.0 x nan cm,101.6,127.0,
770,2019.18.8,101.6 x 127.0 x nan cm,101.6,127.0,
771,2019.18.9,101.6 x 127.0 x nan cm,101.6,127.0,
772,2019.19.1,55.56 x 46.67 x 3.49 cm,55.56,46.67,3.49
773,2019.19.2,53.02 x 77.79 x 2.86 cm,53.02,77.79,2.86
774,2019.19.3,53.02 x 77.79 x 2.86 cm,53.02,77.79,2.86
775,2019.20.1,111.76 x 83.82 x nan cm,111.76,83.82,
776,2019.22.1,137.16 x 137.16 x 7.62 cm,137.16,137.16,7.62
777,2019.27.5,87.31 x 97.47 x 7.62 cm,87.31,97.47,7.62
778,2019.29.1,119.38 x 102.87 x 10.16 cm,119.38,102.87,10.16
779,2019.29.2,106.68 x 78.74 x 10.16 cm,106.68,78.74,10.16
780,2019.3.1,70.0 x 51.0 x nan cm,70.0,51.0,
781,2019.31.1,110.49 x 40.64 x 13.34 cm,110.49,40.64,13.34
782,2019.4.1,148.59 x 148.59 x 3.18 cm,148.59,148.59,3.18
783,2019.4.1.A,148.6 x 3.2 x nan cm,148.6,3.2,
784,2019.4.1.B,59.7 x 3.2 x nan cm,59.7,3.2,
785,2019.4.1.C,24.4 x 3.2 x nan cm,24.4,3.2,
786,2019.5.1,96.5 x 83.2 x nan cm,96.5,83.2,
787,2020.2.1,121.92 x 162.56 x nan cm,121.92,162.56,
788,2020.3.1,139.7 x 215.9 x nan cm,139.7,215.9,
789,2020.4.1,81.92 x 107.95 x 5.08 cm,81.92,107.95,5.08
790,L.2.1974.77,138.4 x 221.0 x nan cm,138.4,221.0,
