,objectID,dimensions,width,height,depth
619,2013.9.2,91.4 x 91.6 x nan cm,91.4,91.6,
620,2013.9.3,81.1 x 47.6 x nan cm,81.1,47.6,
621,2013.9.4,85.4 x 66.0 x nan cm,85.4,66.0,
622,2013.9.5,101.8 x 76.5 x nan cm,101.8,76.5,
623,2013.9.6,101.6 x 81.0 x nan cm,101.6,81.0,
624,2014.1.1,135.9 x 93.4 x nan cm,135.9,93.4,
625,2014.12.1,213.4 x 264.2 x nan cm,213.4,264.2,
626,2014.13.1,81.3 x 71.1 x 3.8 cm,81.3,71.1,3.8
627,2014.14.1,189.9 x 187.0 x nan cm,189.9,187.0,
628,2014.15.2,228.6 x 177.8 x nan cm,228.6,177.8,
629,2014.16.1,11.7 x 37.0 x 1.9 cm,11.7,37.0,1.9
630,2014.17.1,71.1 x 66.0 x nan cm,71.1,66.0,
631,2014.18.1,126.7 x 274.2 x 4.4 cm,126.7,274.2,4.4
632,2014.2.1,121.9 x 109.2 x nan cm,121.9,109.2,
633,2014.20.1,101.6 x 76.2 x nan cm,101.6,76.2,
634,2014.22.1,101.6 x 76.2 x 25.4 cm,101.6,76.2,25.4
635,2014.23.1,190.5 x 152.4 x nan cm,190.5,152.4,
636,2014.25.1,80.0 x 60.0 x nan cm,80.0,60.0,
637,2014.25.2,80.0 x 60.0 x nan cm,80.0,60.0,
638,2014.25.3,80.0 x 60.0 x nan cm,80.0,60.0,
639,2014.26.1,101.6 x 127.0 x nan cm,101.6,127.0,
640,2014.29.1,74.9 x 59.7 x nan cm,74.9,59.7,
641,2014.3.1,92.6 x 62.1 x 4.1 cm,92.6,62.1,4.1
642,2014.3.1.A,92.6 x 62.1 x 4.1 cm,92.6,62.1,4.1
643,2014.3.1.B,92.6 x 62.1 x 4.1 cm,92.6,62.1,4.1
644,2014.4.1,59.7 x 49.5 x nan cm,59.7,49.5,
645,2014.4.1.A,59.7 x 49.5 x nan cm,59.7,49.5,
